Accidents,Frequent itemset,,,,Time (ms),,,,Memory (MB),,,Match Percentage (%),,
Minsup,Classic,Projection,Adjacency,SPMF,Classic,Projection,Adjacency,SPMF,Classic,Projection,Adjacency,Classic,Projection,Adjacency
0.5,8057,8057,8057,8057,1117142.996,1813578.95,54263.19,2966,219.18,270.9,175.41,100,100,100
0.55,4051,4051,4051,4051,934176.42,981158.18,33256.64,2112,196.77,243.28,175.91,100,100,100
0.6,2074,2074,2074,2074,604336.43,507927.05,32500.33,1973,191.57,285.57,176.06,100,100,100
0.65,1093,1093,1093,1093,410881.35,271042.93,34658.67,1816,177.27,288.43,175.6,100,100,100
0.7,529,529,529,529,206128.75,125989.83,29065.55,1676,173.36,302.16,173.95,100,100,100
0.75,313,313,313,313,118472.85,72611.25,28875.05,1603,166.2,292.99,164.07,100,100,100
0.8,149,149,149,149,65928.85,38110.89,28863.79,1546,168.41,259.61,164.48,100,100,100
0.85,71,71,71,71,35910.46,20907.78,30366.85,1404,166.67,255.24,167.48,100,100,100
0.9,31,31,31,31,20519.02,10256.53,45145.7,1413,169.06,208.48,165.83,100,100,100
0.95,15,15,15,15,13236,7919.4,30875.46,1340,160.82,208.93,164.22,100,100,100
