Mushrooms,Frequent itemset,,,,Time (ms),,,,Memory (MB),,,Match Percentage (%),,
Minsup,Classic,Projection,Adjacency,SPMF,Classic,Projection,Adjacency,SPMF,Classic,Projection,Adjacency,Classic,Projection,Adjacency
0.1,600817,600817,600817,600817,469663.94,447812.9,4143.85,1297,118.11,112.62,72.76,100,100,100
0.2,53337,53337,53337,53337,104133.62,80849.33,793.3,106,29.04,26.89,16.13,100,100,100
0.3,2587,2587,2587,2587,8761.26,8330.33,450.43,49,21.37,24.03,14.85,100,100,100
0.4,505,505,505,505,2859.77,3182.02,457.54,36,19.52,24.14,13.93,100,100,100
0.5,163,163,163,163,1361.72,1846.07,459.47,47,20.93,25.27,16.12,100,100,100
0.6,51,51,51,51,621.07,1350.2,510.67,34,21.73,25.57,11.6,100,100,100
0.7,31,31,31,31,586.96,1290.73,476.83,36,22.24,25.49,14.51,100,100,100
0.8,17,17,17,17,480.45,1088.7,457.02,36,22.01,25.4,14.72,100,100,100
0.9,11,11,11,11,418.72,1118.25,442.48,32,19.07,25.6,13.12,100,100,100
